timestamp,accelerometer_x,accelerometer_y,accelerometer_z,magnetometer_x,magnetometer_y,magnetometer_z,gyroscope_x,gyroscope_y,gyroscope_z
1710733434091,1.1827357,-9.610326,2.9783869,-16.32,33.3,5.94,0.18908444,-0.39627838,-0.32969934
1710733434196,1.4748282,-9.624691,3.277662,-16.32,32.52,5.7599998,-0.30360037,0.15978967,0.79894835
1710733434301,-0.5410896,-16.658855,-0.36391866,-11.34,35.399998,5.52,-0.00479369,-0.22264028,0.98110855
1710733434406,-4.4556093,-4.7022123,1.8195933,-5.58,36.12,8.099999,-1.0434265,-5.1612062,1.7193369
1710733434511,1.5275006,-3.1890767,3.1124623,-0.84,34.14,12.96,-0.55340487,5.846704,-0.1438107
1710733434616,-3.6176388,-23.810335,-1.4676456,-6.7799997,34.8,13.5,0.1933455,-3.6650424,-0.376571
1710733434721,2.3774424,-11.415554,2.3558946,-4.5,34.8,11.28,0.49960902,-0.40213734,0.08948222
1710733434825,-2.5330653,-9.531317,1.7046716,-3.8999999,35.579998,7.74,0.07084008,-0.021837922,-0.36485308
1710733434932,-1.9680338,-9.267955,1.1755531,-6.54,34.8,8.58,-0.44315,0.07350325,-0.44687843
1710733435035,-0.93852705,-9.26556,1.3838485,-8.04,34.62,10.92,-0.3254383,0.14594123,0.29454562
1710733435143,-2.918532,-9.919178,0.7350199,-6.3599997,34.14,12.36,-0.76965356,0.74728304,0.32756883
1710733435247,-9.303867,-5.949591,15.964537,-10.44,31.199999,15.179999,1.1334413,7.799866,-0.38296258
1710733435352,-4.19943,-11.20247,4.417302,-13.32,33.239998,-7.08,2.7467844,4.016047,2.6003106
1710733435457,-0.35673606,-9.433155,4.771644,3.6599998,30.0,-22.439999,2.4746094,4.7319045,1.4162691
1710733435562,4.6351743,-7.026982,0.1316811,17.58,24.48,-24.6,1.4578145,0.48469532,-0.257794
1710733435667,5.133168,-18.760965,1.340753,10.5,24.9,-27.06,-0.21518342,1.6666062,-3.8381479
1710733435773,9.524135,-8.532935,2.372654,2.8799999,29.099998,-24.0,0.6151902,-0.35899413,-0.21837921
1710733435876,0.60094464,-9.397242,1.3503298,4.44,28.26,-26.82,0.4383563,-0.4745753,1.0466223
1710733435983,-3.1004913,-10.424355,1.1707647,8.16,26.22,-28.08,0.3435478,0.10546118,2.001632
1710733436087,3.6703112,-23.092075,-0.5386954,16.5,22.5,-28.56,-1.1526161,0.1304949,3.4226947
1710733436193,-7.9511437,-0.40462008,0.33279404,23.64,16.5,-26.34,-2.6146915,-4.206197,2.1033647
1710733436297,0.9792285,-3.8666358,3.5984852,14.7,25.08,-24.96,-4.5827675,-2.262089,-1.73212
1710733436403,2.1499932,-10.448297,9.13388,-1.92,35.16,-8.46,-5.1233892,-12.823121,-0.9576728
1710733436510,23.520638,-19.28769,30.286652,4.92,34.14,12.059999,0.912399,-1.0908308,-2.0506341
1710733436615,-4.9943047,-10.077195,2.27928,1.38,34.92,11.219999,0.5970807,-0.15819177,-1.0998856
1710733436719,-1.3024458,-8.954314,1.7645266,-2.46,35.28,9.3,-0.017044231,-0.7483483,-0.5656554
1710733436825,-0.12210429,-9.488221,2.8323407,-4.2599998,35.28,9.719999,0.10279802,-0.6940198,-0.15126756
1710733436928,-0.93373865,-9.715671,1.7070658,-3.1799998,34.68,9.54,-0.16245283,-0.41172472,0.71532506
1710733437034,0.12210429,-12.569559,0.33518824,-0.12,34.38,11.099999,-0.35899413,0.10865697,1.4913702
1710733437139,-6.4380083,-3.6894648,2.1571758,6.42,33.36,13.0199995,-0.07084008,-1.2170646,0.6876282
1710733437244,-1.3239936,-2.731784,4.3382936,4.14,35.16,10.559999,1.2948289,7.5069184,-2.086853
1710733437349,-1.5610195,-7.165846,5.4922986,-1.68,35.28,6.6,0.10759171,1.1840415,1.0263823
1710733437454,-3.0142999,-9.138668,1.7549498,-0.24,35.76,6.18,0.21624869,0.24660872,0.11717909
1710733437559,-2.779668,-9.13388,3.3279405,-0.96,35.76,5.46,-0.32969934,0.2972088,-0.23808661
1710733437664,-2.5570073,-9.234436,1.6065093,-2.34,35.399998,8.04,-0.6018744,0.3254383,-0.1933455
1710733437769,-2.6120741,-9.528923,0.81642276,-2.8799999,35.16,11.46,-0.83729786,0.5811018,0.19973709
1710733437875,-2.0350714,-11.130644,6.88333,-3.84,32.7,15.78,-1.3534185,1.2559468,-0.74941355
1710733437978,-5.291186,-12.653356,15.552734,-9.179999,34.68,7.44,4.2530684,4.5785065,2.5688853
1710733438084,6.71813,-7.005434,3.2489316,2.3999999,34.02,-14.88,4.042146,5.5825186,1.4370418
1710733438188,3.739743,-8.453926,4.6686935,11.639999,26.16,-26.88,2.1140172,0.9060074,-2.0170782
1710733438297,13.970167,-20.321983,-8.161834,9.48,23.76,-29.46,0.48682585,3.9686427,-4.1699777
1710733438404,5.2624555,-9.121908,4.321534,4.5,25.26,-29.699999,0.4564658,0.10546118,0.5278385
1710733438510,-4.7022123,-9.320627,0.4405331,6.54,25.32,-29.4,-0.572047,0.022370555,-0.24607609
1710733438615,0.7541735,-9.504981,1.6950948,5.8199997,27.539999,-27.24,-0.19068234,0.0628506,1.0018812
1710733438721,1.3910311,-18.717869,3.2082303,12.599999,25.92,-26.82,-0.7462177,0.29134983,2.828277
1710733438826,-2.528277,-4.76925,-0.82599956,23.279999,20.76,-24.359999,-1.5515577,-2.352104,1.7310548
1710733438931,0.7086837,-5.0900726,0.038307227,14.34,24.96,-27.06,-3.2314796,-4.6615973,-1.4056164
1710733439035,2.2505496,-10.922348,6.184223,-4.38,34.38,-13.32,-4.870389,-9.191634,-2.1438446
1710733439140,36.12611,-17.894264,38.5658,-2.6399999,33.719997,12.96,1.4551512,-0.8016115,-4.706871
1710733439246,-1.8650831,-8.470686,4.3718123,-6.24,34.38,11.16,0.66365975,-0.58056915,-0.7414241
1710733439349,-0.17717093,-8.966286,0.79726917,-10.2,33.96,9.66,0.07350325,-1.0178602,-0.7616641
1710733439456,0.78290397,-9.998186,1.8219875,-12.96,32.34,9.9,0.54168695,-1.2644689,-0.37710363
1710733439560,1.2090719,-9.586384,2.992752,-12.059999,33.3,9.12,-0.27803403,-0.04314321,0.5411543
1710733439667,-0.5674258,-10.13705,1.6184803,-8.04,33.54,11.16,-0.5123922,0.23222765,1.4343786
1710733439770,-1.8435353,-10.120291,0.39025488,-4.56,33.54,13.38,0.025033714,-0.50813115,0.00958738
1710733439876,-5.7508726,-7.086837,8.137892,-3.12,34.14,12.12,1.180313,-0.42557314,0.6215818
1710733439982,20.846313,-1.4556746,-5.8634,-4.92,35.94,5.94,0.71106404,2.4133565,-1.1792477
1710733440084,-0.6751649,-8.808268,1.9656396,-4.08,36.239998,5.8199997,0.04580637,0.6775082,-0.43196473
1710733440192,-2.2625206,-9.481039,3.2106245,-5.16,36.3,4.92,-0.52357745,0.16405073,-0.40213734
